tab	sites
site	area	location	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age	age_sigma	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_n_samples	dir_k	dir_alpha95	dir_comp_name	result_quality	result_type	dir_polarity	vgp_lon	vgp_lat	description
FJ69-1	A	Mackenzie igneous events	LP-DIR-AF:DE-FM	10.1139/e69-065	Igneous	Volcanic Dike	Diabase	65.1	242.4	1267	2			Ma	0	233.0	25.0	4	169	5.4	characteristic	g	i	r	191.0	-2.0	Mackenzie-swarm dike site; Table I direction and Table III VGP from Fahrig and Jones (1969).
FJ69-2	A	Mackenzie igneous events	LP-DIR-AF:DE-FM	10.1139/e69-065	Igneous	Volcanic Dike	Diabase	65.8	248.9	1267	2			Ma	0	235.5	22.5	4	280	4.2	characteristic	g	i	r	195.0	-3.0	Mackenzie-swarm dike site; Table I direction and Table III VGP from Fahrig and Jones (1969).
FJ69-3	B	Mackenzie igneous events	LP-DIR-AF:DE-FM	10.1139/e69-065	Igneous	Volcanic Dike	Diabase	55.8	264.15	1267	2			Ma	0	252.5	52.5	6	49	8.2	characteristic	g	i	r	207.0	18.0	Possible Mackenzie dike site; Table I direction and Table III VGP from Fahrig and Jones (1969).
FJ69-4	B	Mackenzie igneous events	LP-DIR-AF:DE-FM	10.1139/e69-065	Igneous	Volcanic Dike	Diabase	54.8	265.75	1267	2			Ma	0	249.0	28.0	5	33	11.0	characteristic	g	i	r	201.0	1.0	Possible Mackenzie dike site; Table I direction and Table III VGP from Fahrig and Jones (1969).
FJ69-5	B	Mackenzie igneous events	LP-DIR-AF:DE-FM	10.1139/e69-065	Igneous	Volcanic Dike	Diabase	54.7	264.15	1267	2			Ma	0	261.0	25.0	3	27	16.0	characteristic	g	i	r	189.0	5.0	Possible Mackenzie dike site; Table I direction and Table III VGP from Fahrig and Jones (1969).
FJ69-6	B	Mackenzie igneous events	LP-DIR-AF:DE-FM	10.1139/e69-065	Igneous	Volcanic Dike	Diabase	55.45	261.6	1267	2			Ma	0	264.5	28.0	4	165	5.5	characteristic	g	i	r	185.0	9.0	Possible Mackenzie dike site; Table I direction and Table III VGP from Fahrig and Jones (1969).
FJ69-7	C	Mackenzie igneous events	LP-DIR-AF:DE-FM	10.1139/e69-065	Igneous	Volcanic Dike	Diabase	66.35	272.35	1267	2			Ma	0	261.0	17.5	5	1530	1.6	characteristic	g	i	r	194.0	5.0	Possible Mackenzie dike site; Table I direction and Table III VGP from Fahrig and Jones (1969).
FJ69-8	C	Mackenzie igneous events	LP-DIR-AF:DE-FM	10.1139/e69-065	Igneous	Volcanic Dike	Diabase	67.05	272.75	1267	2			Ma	0	267.5	26.0	5	17	15.0	characteristic	g	i	r	190.0	11.0	Possible Mackenzie dike site; Table I direction and Table III VGP from Fahrig and Jones (1969).
FJ69-9	C	Mackenzie igneous events	LP-DIR-AF:DE-FM	10.1139/e69-065	Igneous	Volcanic Dike	Diabase	68.45	277.8	1267	2			Ma	0	267.5	10.5	5	128	5.5	characteristic	g	i	r	192.0	4.0	Possible Mackenzie dike site; Table I direction and Table III VGP from Fahrig and Jones (1969).
FJ69-10	D	Mackenzie igneous events	LP-DIR-AF:DE-FM	10.1139/e69-065	Igneous	Sill	Diabase	62.7	249.65	1267	2			Ma	0	243.0	18.0	6	570	2.4	characteristic	g	i	r	188.0	-3.0	East Arm gently dipping sheet/sill; Table I direction and Table III VGP from Fahrig and Jones (1969).
FJ69-11	D	Mackenzie igneous events	LP-DIR-AF:DE-FM	10.1139/e69-065	Igneous	Sill	Diabase	62.7	250.15	1267	2			Ma	0	201.0	85.0	4	74	8.1	anomalous	b	i	u	244.2	53.3	East Arm site excluded by Fahrig and Jones (1969) as anomalous; VGP recomputed from the published direction because no Table III VGP was reported.
FJ69-12	D	Mackenzie igneous events	LP-DIR-AF:DE-FM	10.1139/e69-065	Igneous	Volcanic Dike	Diabase	62.55	250.85	1267	2			Ma	0	237.5	32.5	4	212	4.8	characteristic	g	i	r	197.0	2.0	East Arm dike; Table I direction and Table III VGP from Fahrig and Jones (1969).
FJ69-13	D	Mackenzie igneous events	LP-DIR-AF:DE-FM	10.1139/e69-065	Igneous	Volcanic Dike	Diabase	62.45	249.35	1267	2			Ma	0	239.0	41.0	4	164	5.5	characteristic	g	i	r	197.0	8.0	East Arm dike; Table I direction and Table III VGP from Fahrig and Jones (1969).
FJ69-14	D	Mackenzie igneous events	LP-DIR-AF:DE-FM	10.1139/e69-065	Igneous	Sill	Diabase	62.55	248.5	1267	2			Ma	0	238.5	19.5	4	1030	2.2	characteristic	g	i	r	191.0	-5.0	East Arm gently dipping sheet/sill; Table I direction and Table III VGP from Fahrig and Jones (1969).
FJ69-15	D	Mackenzie igneous events	LP-DIR-AF:DE-FM	10.1139/e69-065	Igneous	Sill	Diabase	62.8	249.25	1267	2			Ma	0	245.5	21.0	4	626	2.8	characteristic	g	i	r	186.0	-1.0	East Arm gently dipping sheet/sill; Table I direction and Table III VGP from Fahrig and Jones (1969).
