tab delimited	locations
location	location_type	result_name	result_type	result_quality	sites	method_codes	citations	geologic_classes	lithologies	lat_s	lat_n	lon_w	lon_e	age	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_n_sites	pole_lat	pole_lon	pole_alpha95	pole_k	pole_n_sites	pole_reversed_perc	continent_ocean	country	description
Zig-Zag Dal Basalt Formation	Region	Zig-Zag Dal Basalt Formation ca. 1382 Ma pole	a	g	BA-01:BA-02:BA-03:BA-04:BA-05:BA-06:BA-09:BA-10:BA-11:BA-14:BA-15:BA-16:BA-18:BA-19:BA-20:BA-21:BA-22:BA-23:BA-24	LP-DIR-AF:DE-FM:DE-VGP	10.1111/j.1365-246X.1983.tb03321.x:10.1007/s00410-004-0634-7	Extrusive	Basalt	81.2	81.2	334.8	334.8	1382	1380	1384	Ma	100	273.6	22.0	5.6	37.0	19	12.3	242.9	3.9	75.1	19	0	Greenland	Greenland	Paleomagnetic pole for the Zig-Zag Dal Basalt Formation, a subaerial tholeiitic continental flood-basalt succession (up to ca. 1350 m of aphyric and porphyritic aa flows, with pillow lavas in the basal unit) conformably overlying the Independence Fjord Group sandstones of eastern North Greenland (Marcussen & Abrahamsen, 1983). The pole is the Fisher mean of the bedding-corrected site virtual geomagnetic poles, reported at the positive-latitude antipode. The single-polarity characteristic remanence is carried by titanomagnetite to near-pure magnetite (thermomagnetic Curie points) and was isolated by alternating-field demagnetization. The pole is used in the reconstructed Laurentia frame after rotating Greenland to North America, and is indistinguishable from the pole of the comagmatic Midsommerso Dolerites. Age from U-Pb baddeleyite dating of the associated intrusions (1382 +/- 2 Ma; Upton et al., 2005).
>>>>>>>>>>
tab delimited	sites
age	age_high	age_low	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	result_type	site	vgp_lat	vgp_lon	vgp_dp	vgp_dm
1382	1384	1380	Ma	10.1111/j.1365-246X.1983.tb03321.x	ED: Site mean recomputed after omitting samples with orientation errors or strong alteration; Site lat/lon = formation-mean coordinates (Marcussen & Abrahamsen 1983, Table 2 footnote); per-site coordinates not reported	1.8	91.2	-14.3	801	9	100	Extrusive	Lava Flow	81.2	Basalt	Zig-Zag Dal Basalt Formation	334.8	LP-DIR-AF:DE-FM	g	i	BA-01	-7.4	64.7	0.9	1.8
1382	1384	1380	Ma	10.1111/j.1365-246X.1983.tb03321.x	ED: Site mean recomputed after omitting samples with orientation errors or strong alteration; Site lat/lon = formation-mean coordinates (Marcussen & Abrahamsen 1983, Table 2 footnote); per-site coordinates not reported	2.4	92.4	-15.0	461	9	100	Extrusive	Lava Flow	81.2	Basalt	Zig-Zag Dal Basalt Formation	334.8	LP-DIR-AF:DE-FM	g	i	BA-02	-7.9	63.6	1.3	2.5
1382	1384	1380	Ma	10.1111/j.1365-246X.1983.tb03321.x	Site lat/lon = formation-mean coordinates (Marcussen & Abrahamsen 1983, Table 2 footnote); per-site coordinates not reported	2.3	94.1	-23.8	419	9	100	Extrusive	Lava Flow	81.2	Basalt	Zig-Zag Dal Basalt Formation	334.8	LP-DIR-AF:DE-FM	g	i	BA-03	-12.9	62.7	1.3	2.5
1382	1384	1380	Ma	10.1111/j.1365-246X.1983.tb03321.x	ED: Site mean recomputed after omitting samples with orientation errors or strong alteration; Site lat/lon = formation-mean coordinates (Marcussen & Abrahamsen 1983, Table 2 footnote); per-site coordinates not reported	2.0	91.7	-24.0	677	9	100	Extrusive	Lava Flow	81.2	Basalt	Zig-Zag Dal Basalt Formation	334.8	LP-DIR-AF:DE-FM	g	i	BA-04	-12.7	65.1	1.1	2.1
1382	1384	1380	Ma	10.1111/j.1365-246X.1983.tb03321.x	Site lat/lon = formation-mean coordinates (Marcussen & Abrahamsen 1983, Table 2 footnote); per-site coordinates not reported	2.2	93.9	-22.8	496	10	100	Extrusive	Lava Flow	81.2	Basalt	Zig-Zag Dal Basalt Formation	334.8	LP-DIR-AF:DE-FM	g	i	BA-05	-12.3	62.8	1.2	2.3
1382	1384	1380	Ma	10.1111/j.1365-246X.1983.tb03321.x	BEST: per-specimen most-stable directions selected via Stupavsky-Symons PSI index; Site lat/lon = formation-mean coordinates (Marcussen & Abrahamsen 1983, Table 2 footnote); per-site coordinates not reported	11.1	87.5	-19.7	38	6	100	Extrusive	Lava Flow	81.2	Basalt	Zig-Zag Dal Basalt Formation	334.8	LP-DIR-AF:DE-FM	g	i	BA-06	-9.6	68.8	6.1	11.6
1382	1384	1380	Ma	10.1111/j.1365-246X.1983.tb03321.x	BEST: per-specimen most-stable directions selected via Stupavsky-Symons PSI index; Site lat/lon = formation-mean coordinates (Marcussen & Abrahamsen 1983, Table 2 footnote); per-site coordinates not reported	3.0	97.0	-6.4	298	9	100	Extrusive	Lava Flow	81.2	Basalt	Zig-Zag Dal Basalt Formation	334.8	LP-DIR-AF:DE-FM	g	i	BA-09	-4.2	58.4	1.5	3.0
1382	1384	1380	Ma	10.1111/j.1365-246X.1983.tb03321.x	BEST: per-specimen most-stable directions selected via Stupavsky-Symons PSI index; Site lat/lon = formation-mean coordinates (Marcussen & Abrahamsen 1983, Table 2 footnote); per-site coordinates not reported	3.1	102.7	-9.7	327	8	100	Extrusive	Lava Flow	81.2	Basalt	Zig-Zag Dal Basalt Formation	334.8	LP-DIR-AF:DE-FM	g	i	BA-10	-6.8	53.0	1.6	3.1
1382	1384	1380	Ma	10.1111/j.1365-246X.1983.tb03321.x	Site lat/lon = formation-mean coordinates (Marcussen & Abrahamsen 1983, Table 2 footnote); per-site coordinates not reported	0.8	97.7	-25.8	4037	9	100	Extrusive	Lava Flow	81.2	Basalt	Zig-Zag Dal Basalt Formation	334.8	LP-DIR-AF:DE-FM	g	i	BA-11	-14.6	59.3	0.5	0.9
1382	1384	1380	Ma	10.1111/j.1365-246X.1983.tb03321.x	BEST: per-specimen most-stable directions selected via Stupavsky-Symons PSI index; Site lat/lon = formation-mean coordinates (Marcussen & Abrahamsen 1983, Table 2 footnote); per-site coordinates not reported	20.4	90.4	-15.2	12	6	100	Extrusive	Lava Flow	81.2	Basalt	Zig-Zag Dal Basalt Formation	334.8	LP-DIR-AF:DE-FM	g	i	BA-14	-7.7	65.6	10.8	20.9
1382	1384	1380	Ma	10.1111/j.1365-246X.1983.tb03321.x	Site lat/lon = formation-mean coordinates (Marcussen & Abrahamsen 1983, Table 2 footnote); per-site coordinates not reported	2.1	100.7	-32.1	516	10	100	Extrusive	Lava Flow	81.2	Basalt	Zig-Zag Dal Basalt Formation	334.8	LP-DIR-AF:DE-FM	g	i	BA-15	-18.8	56.9	1.3	2.4
1382	1384	1380	Ma	10.1111/j.1365-246X.1983.tb03321.x	Site lat/lon = formation-mean coordinates (Marcussen & Abrahamsen 1983, Table 2 footnote); per-site coordinates not reported	3.3	101.8	-41.0	218	10	100	Extrusive	Lava Flow	81.2	Basalt	Zig-Zag Dal Basalt Formation	334.8	LP-DIR-AF:DE-FM	g	i	BA-16	-25.0	56.9	2.4	4.0
1382	1384	1380	Ma	10.1111/j.1365-246X.1983.tb03321.x	Site lat/lon = formation-mean coordinates (Marcussen & Abrahamsen 1983, Table 2 footnote); per-site coordinates not reported	16.9	89.0	-36.2	54	3	100	Extrusive	Lava Flow	81.2	Basalt	Zig-Zag Dal Basalt Formation	334.8	LP-DIR-AF:DE-FM	g	i	BA-18	-19.7	69.0	11.4	19.7
1382	1384	1380	Ma	10.1111/j.1365-246X.1983.tb03321.x	Site lat/lon = formation-mean coordinates (Marcussen & Abrahamsen 1983, Table 2 footnote); per-site coordinates not reported	15.0	84.9	-1.5	39	4	100	Extrusive	Lava Flow	81.2	Basalt	Zig-Zag Dal Basalt Formation	334.8	LP-DIR-AF:DE-FM	g	i	BA-19	0.0	70.0	7.5	15.0
1382	1384	1380	Ma	10.1111/j.1365-246X.1983.tb03321.x	ED: Site mean recomputed after omitting samples with orientation errors or strong alteration; Site lat/lon = formation-mean coordinates (Marcussen & Abrahamsen 1983, Table 2 footnote); per-site coordinates not reported	14.7	90.1	-42.1	288	2	100	Extrusive	Lava Flow	81.2	Basalt	Zig-Zag Dal Basalt Formation	334.8	LP-DIR-AF:DE-FM	g	i	BA-20	-24.0	68.7	11.1	18.1
1382	1384	1380	Ma	10.1111/j.1365-246X.1983.tb03321.x	ED: Site mean recomputed after omitting samples with orientation errors or strong alteration; Site lat/lon = formation-mean coordinates (Marcussen & Abrahamsen 1983, Table 2 footnote); per-site coordinates not reported	15.3	103.4	-36.8	268	2	100	Extrusive	Lava Flow	81.2	Basalt	Zig-Zag Dal Basalt Formation	334.8	LP-DIR-AF:DE-FM	g	i	BA-21	-22.3	54.8	10.5	17.9
