tab 	locations
age	age_sigma	age_unit	citations	description	dir_tilt_correction	geologic_classes	lat_n	lat_s	lithologies	location	location_type	lon_e	lon_w	method_codes	pole_alpha95	pole_k	pole_lat	pole_lon	pole_n_sites	result_name	result_quality	result_type	sites
900	100	Ma	10.1016/j.precamres.2012.04.012	Mean pole from 14 microcline gneiss sites of the Adirondack Highlands reported in Brown and McEnroe (2012). Remanence is carried by ilmeno-hematite. Age 900 +/- 100 Ma reflects the broad uncertainty in the timing of remanence acquisition during post-Grenvillian cooling; Brown and McEnroe (2012) estimate ca. 960 Ma based on closure of lamellar magnetism in ilmeno-hematite using cooling curves of Mezger et al. (1991, 1992). Normal-polarity site VGPs were antipoded before Fisher averaging.	0	Metamorphic	44.2	44.2	Gneiss	Adirondack microcline gneiss	Region	286.0	286.0	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM:DE-VGP	11.2	13.6	-19.0	148.7	14	Adirondack microcline gneiss pole	g	a	AD1:AD2:AD5:AD6:AD11:AD15:AD18:AD21:AD22:AD26:AD34:AD35:AD36:AD40
887	23	Ma	10.1016/j.precamres.2012.04.012	Mean pole following the Brown and McEnroe (2012) Table 3 grouping that combines 11 metamorphic anorthosite sites of the Marcy Massif with 3 associated metamorphic rock sites (metasyenite, metadiorite, granitic gneiss) for a total of 14 sites. All 14 sites carry a magnetite-dominated remanence. The 887 +/- 23 Ma age is the magnetite-carried remanence acquisition age estimated by Zhang et al. (in press, Tectonics) from probabilistic thermal history inversion of U-Pb zircon, garnet, titanite, rutile, and apatite data from the Adirondack Highlands. Normal-polarity site VGPs were antipoded before Fisher averaging.	0	Metamorphic	44.3	43.61	Meta Anorthosite:Gneiss	Adirondack metamorphic anorthosite	Region	286.6	285.75	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM:DE-VGP	12.9	10.5	-25.2	143.4	14	Adirondack metamorphic anorthosite ca. 887 Ma pole	g	a	AD12:AD28:AD32:AD33:ADH9:ADH10:ADH12:ADH32:ADH33:ADH34:ADH35:ADH8:ADH18:ADH19
900	100	Ma	10.1016/j.precamres.2012.04.012	Mean pole from 8 post-metamorphic fayalite granite sites of the Wanakena and Ausable Forks plutons reported in Brown and McEnroe (2012). Remanence is carried by magnetite. Age 900 +/- 100 Ma reflects the broad uncertainty in the timing of remanence acquisition; Brown and McEnroe (2012) estimate ca. 990 Ma using cooling curves and the magnetite Curie temperature, with the host plutons crystallizing at ca. 1047 Ma. Normal-polarity site VGPs were antipoded before Fisher averaging.	0	Igneous	44.2	44.2	Granite	Adirondack fayalite granite	Region	286.0	286.0	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM:DE-VGP	7.1	62.7	-28.5	131.7	8	Adirondack fayalite granite pole	g	a	AD9:AD10:AD20:AD37:AD38:ADH4:ADH5:ADH20
>>>>>>>>>>
tab 	sites
age	age_sigma	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	site	vgp_lat	vgp_lon
900	100	Ma	10.1016/j.precamres.2012.04.012	microcline gneiss	6.7	232.1	-62.3	100	6	0	Metamorphic	Not Specified	44.2	Gneiss	Adirondack microcline gneiss	286.0	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	AD1	-53.1	175.8
900	100	Ma	10.1016/j.precamres.2012.04.012	microcline gneiss	9.4	257.8	-62.9	97	4	0	Metamorphic	Not Specified	44.2	Gneiss	Adirondack microcline gneiss	286.0	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	AD2	-36.4	164.3
900	100	Ma	10.1016/j.precamres.2012.04.012	microcline gneiss	10.6	292.2	-51.5	22	10	0	Metamorphic	Not Specified	44.2	Gneiss	Adirondack microcline gneiss	286.0	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	AD5	-8.0	157.4
900	100	Ma	10.1016/j.precamres.2012.04.012	microcline gneiss	3.0	271.2	-67.8	260	10	0	Metamorphic	Not Specified	44.2	Gneiss	Adirondack microcline gneiss	286.0	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	AD6	-31.9	152.1
900	100	Ma	10.1016/j.precamres.2012.04.012	microcline gneiss	5.5	98.1	44.8	120	7	0	Metamorphic	Not Specified	44.2	Gneiss	Adirondack microcline gneiss	286.0	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	AD11	12.6	349.3
900	100	Ma	10.1016/j.precamres.2012.04.012	microcline gneiss	6.6	138.7	68.9	351	3	0	Metamorphic	Not Specified	44.2	Gneiss	Adirondack microcline gneiss	286.0	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	AD15	12.7	308.5
900	100	Ma	10.1016/j.precamres.2012.04.012	microcline gneiss	6.0	111.6	55.3	165	5	0	Metamorphic	Not Specified	44.2	Gneiss	Adirondack microcline gneiss	286.0	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	AD18	11.0	334.2
900	100	Ma	10.1016/j.precamres.2012.04.012	microcline gneiss	2.4	318.4	-64.1	655	7	0	Metamorphic	Not Specified	44.2	Gneiss	Adirondack microcline gneiss	286.0	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	AD21	-7.1	131.8
900	100	Ma	10.1016/j.precamres.2012.04.012	microcline gneiss	7.2	282.3	-63.3	113	5	0	Metamorphic	Not Specified	44.2	Gneiss	Adirondack microcline gneiss	286.0	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	AD22	-22.4	152.6
900	100	Ma	10.1016/j.precamres.2012.04.012	microcline gneiss	2.8	162.9	76.9	760	5	0	Metamorphic	Not Specified	44.2	Gneiss	Adirondack microcline gneiss	286.0	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	AD26	19.9	291.6
900	100	Ma	10.1016/j.precamres.2012.04.012	microcline gneiss	7.7	262.7	-61.1	62	7	0	Metamorphic	Not Specified	44.2	Gneiss	Adirondack microcline gneiss	286.0	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	AD34	-32.3	164.4
900	100	Ma	10.1016/j.precamres.2012.04.012	microcline gneiss	8.0	309.9	-58.6	238	3	0	Metamorphic	Not Specified	44.2	Gneiss	Adirondack microcline gneiss	286.0	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	AD35	-4.8	140.6
