tab	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age	age_sigma	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_n_samples	dir_comp_name	vgp_lat	vgp_lon	description
L67-K	Sudbury Dikes	i	g	LP-DIR-AF:DE-FM	10.1139/e67-015	Igneous	Volcanic Dike	Diabase	46.3	278.6	1235.0		1232	1242	Ma	0	273	2	5.2	557	3	Sudbury Dike direction	3	187	Larochelle (1967) Table II dyke K/site 1 after 150 Oe cleaning; VGP copied from Table II. Fig. 1 maps locality, but exact coordinates are not tabulated; study-center coordinate used here.; Pole age updated to Dudas et al. (1994) 1235 +7/-3 Ma U-Pb baddeleyite age.
L67-L	Sudbury Dikes	i	g	LP-DIR-AF:DE-FM	10.1139/e67-015	Igneous	Volcanic Dike	Diabase	46.3	278.6	1235.0		1232	1242	Ma	0	265	6	12.9	377	2	Sudbury Dike direction	-1	195	Larochelle (1967) Table II dyke L/site 2 after 150 Oe cleaning; VGP copied from Table II. Fig. 1 maps locality, but exact coordinates are not tabulated; study-center coordinate used here.; Pole age updated to Dudas et al. (1994) 1235 +7/-3 Ma U-Pb baddeleyite age.
L67-I	Sudbury Dikes	i	g	LP-DIR-AF:DE-FM	10.1139/e67-015	Igneous	Volcanic Dike	Diabase	46.3	278.6	1235.0		1232	1242	Ma	0	272	0	12.3	57	4	Sudbury Dike direction	2	187	Larochelle (1967) Table II dyke I/site 3 after 150 Oe cleaning; one representative dyke mean retained. Fig. 1 maps locality, but exact coordinates are not tabulated; study-center coordinate used here.; Pole age updated to Dudas et al. (1994) 1235 +7/-3 Ma U-Pb baddeleyite age.
L67-J	Sudbury Dikes	i	g	LP-DIR-AF:DE-FM	10.1139/e67-015	Igneous	Volcanic Dike	Diabase	46.3	278.6	1235.0		1232	1242	Ma	0	265	5	7.3	158	4	Sudbury Dike direction	-2	193	Larochelle (1967) Table II dyke J/site 5 after 150 Oe cleaning; one representative dyke mean retained. Fig. 1 maps locality, but exact coordinates are not tabulated; study-center coordinate used here.; Pole age updated to Dudas et al. (1994) 1235 +7/-3 Ma U-Pb baddeleyite age.
L67-E	Sudbury Dikes	i	g	LP-DIR-AF:DE-FM	10.1139/e67-015	Igneous	Volcanic Dike	Diabase	46.3	278.6	1235.0		1232	1242	Ma	0	262	-5	5.5	195	5	Sudbury Dike direction	-7	193	Larochelle (1967) Table II dyke E/site 8 after 150 Oe cleaning; VGP copied from Table II. Fig. 1 maps locality, but exact coordinates are not tabulated; study-center coordinate used here.; Pole age updated to Dudas et al. (1994) 1235 +7/-3 Ma U-Pb baddeleyite age.
L67-D	Sudbury Dikes	i	g	LP-DIR-AF:DE-FM	10.1139/e67-015	Igneous	Volcanic Dike	Diabase	46.3	278.6	1235.0		1232	1242	Ma	0	261	-1	9.0	73	5	Sudbury Dike direction	-6	195	Larochelle (1967) Table II dyke D/site 9 after 150 Oe cleaning; VGP copied from Table II. Fig. 1 maps locality, but exact coordinates are not tabulated; study-center coordinate used here.; Pole age updated to Dudas et al. (1994) 1235 +7/-3 Ma U-Pb baddeleyite age.
L67-C	Sudbury Dikes	i	g	LP-DIR-AF:DE-FM	10.1139/e67-015	Igneous	Volcanic Dike	Diabase	46.3	278.6	1235.0		1232	1242	Ma	0	274	-8	3.3	526	5	Sudbury Dike direction	-1	183	Larochelle (1967) Table II dyke C/site 10 after 150 Oe cleaning; one representative dyke mean retained. Fig. 1 maps locality, but exact coordinates are not tabulated; study-center coordinate used here.; Pole age updated to Dudas et al. (1994) 1235 +7/-3 Ma U-Pb baddeleyite age.
L67-B	Sudbury Dikes	i	g	LP-DIR-AF:DE-FM	10.1139/e67-015	Igneous	Volcanic Dike	Diabase	46.3	278.6	1235.0		1232	1242	Ma	0	271	-7	5.9	168	5	Sudbury Dike direction	-2	186	Larochelle (1967) Table II dyke B/site 12 after 150 Oe cleaning; VGP copied from Table II. Fig. 1 maps locality, but exact coordinates are not tabulated; study-center coordinate used here.; Pole age updated to Dudas et al. (1994) 1235 +7/-3 Ma U-Pb baddeleyite age.
L67-H	Sudbury Dikes	i	g	LP-DIR-AF:DE-FM	10.1139/e67-015	Igneous	Volcanic Dike	Diabase	46.3	278.6	1235.0		1232	1242	Ma	0	267	-10	2.7	2077	3	Sudbury Dike direction	-5	187	Larochelle (1967) Table II dyke H/site 14 after 150 Oe cleaning; VGP copied from Table II. Fig. 1 maps locality, but exact coordinates are not tabulated; study-center coordinate used here.; Pole age updated to Dudas et al. (1994) 1235 +7/-3 Ma U-Pb baddeleyite age.
L67-F	Sudbury Dikes	i	g	LP-DIR-AF:DE-FM	10.1139/e67-015	Igneous	Volcanic Dike	Diabase	46.3	278.6	1235.0		1232	1242	Ma	0	272	-13	10.7	52	5	Sudbury Dike direction	-4	183	Larochelle (1967) Table II dyke F/site 15 after 150 Oe cleaning; VGP copied from Table II. Fig. 1 maps locality, but exact coordinates are not tabulated; study-center coordinate used here.; Pole age updated to Dudas et al. (1994) 1235 +7/-3 Ma U-Pb baddeleyite age.
