tab 	locations
age	age_high	age_low	age_sigma	age_unit	citations	description	dir_tilt_correction	geologic_classes	lat_n	lat_s	lithologies	location	location_type	lon_e	lon_w	method_codes	pole_alpha95	pole_k	pole_lat	pole_lon	pole_n_sites	result_name	result_quality	result_type	sites
	1484.0	1448.0		Ma	10.1029/2000TC001265:10.3133/pp1866	Pole from Meert & Stuckey (2002), recreated at the site level. The location pole (12.1 S, 219.1 E; A95 6.0, k 33.7, N=18) is the Fisher mean of the 18 tilt-corrected site VGPs (the value computed in the pole notebook and written to the Nordic summary). For comparison, Meert & Stuckey also report a Mean-TC pole from the mean tilt-corrected direction (233.4/+36.9): 13.2 S, 219.0 E (dp 4.7, dm 8.0). The 18 sites in the `sites` list are the stable-direction pole sites; excluded from the mean (retained in the contribution as result_quality=b for the field tests) are the reversed, poorly grouped site 15-TS, the Cambrian boulder-conglomerate clasts (6-CT; conglomerate test), and the ca. 1.33-1.28 Ga dike / baked-contact component rows of 3-SG and 4-GM. Per-site VGPs were recomputed (signed) from the listed tilt-corrected directions, so they are internally consistent with the directions and may differ slightly from the rounded VGPs in Table 1 (and in hemisphere for the excluded younger-pulse rows). The pole is supported by positive fold, conglomerate, and inverse baked-contact tests. Age 1466 Ma (1448-1484) adopted from du Bray et al. (2021); originally dated 1476 +/- 16 Ma (Van Schmus et al., 1993).	100	Igneous	37.7	37.452	Granite:Pyroclastite:Rhyolite	St. Francois Mountains	Region	269.7	269.117	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:DE-VGP:ST-G:ST-C-I:ST-F:GM-UPB-CC:FS-FD:SO-SM	6.0	33.7	-12.1	219.1	18	St. Francois Mountains Igneous Province ca. 1466 Ma pole	g	a	1-BH:2-KG:3-SG:4-GM:5-GM:7-SM:8-FR:9-GM:10-GM:11-SM:12-RG:13-RG:14-TS:16-TS:17-BM:18-BM:19-LM:21-SM
>>>>>>>>>>
tab 	sites
age	age_high	age_low	age_sigma	age_unit	bed_dip	bed_dip_direction	citations	description	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	result_type	site	vgp_dm	vgp_dp	vgp_lat	vgp_lon
	1484.0	1448.0		Ma	10	240.0	10.1029/2000TC001265:10.3133/pp1866	Conglomerate-test target site; clast directions are randomly distributed (positive conglomerate test).	19.0		229.0	23.0	11.0	7	0	Igneous	Pluton	37.7	Granite	St. Francois Mountains	269.595	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	g	i	1-BH				
	1484.0	1448.0		Ma	10	240.0	10.1029/2000TC001265:10.3133/pp1866		19.0		229.6	13.2	11.0	7	100	Igneous	Pluton	37.7	Granite	St. Francois Mountains	269.595	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	g	i	1-BH	19.4	9.9	-26.0	212.3
	1484.0	1448.0		Ma	10	240.0	10.1029/2000TC001265:10.3133/pp1866		14.0		239.6	31.0	44.0	4	0	Igneous	Pluton	37.68	Granite	St. Francois Mountains	269.615	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	g	i	2-KG				
	1484.0	1448.0		Ma	10	240.0	10.1029/2000TC001265:10.3133/pp1866		14.0		239.6	21.0	44.0	4	100	Igneous	Pluton	37.68	Granite	St. Francois Mountains	269.615	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	g	i	2-KG	14.7	7.7	-16.1	207.7
	1330.0	1280.0		Ma	10	240.0	10.1029/2000TC001265:10.3133/pp1866		9.8	b	44.0	50.0	28.0	9	0	Igneous	Pluton	37.6	Granite	St. Francois Mountains	269.65	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	b	i	3-SG				
	1330.0	1280.0		Ma	10	240.0	10.1029/2000TC001265:10.3133/pp1866		9.8	b	44.0	50.0	28.0	9	100	Igneous	Pluton	37.6	Granite	St. Francois Mountains	269.65	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	b	i	3-SG	13.1	8.8	53.3	356.9
	1484.0	1448.0		Ma	10	240.0	10.1029/2000TC001265:10.3133/pp1866		11.0	c	234.0	39.0	39.0	6	0	Igneous	Pluton	37.6	Granite	St. Francois Mountains	269.65	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	g	i	3-SG				
	1484.0	1448.0		Ma	10	240.0	10.1029/2000TC001265:10.3133/pp1866		11.0	c	234.7	29.0	39.0	6	100	Igneous	Pluton	37.6	Granite	St. Francois Mountains	269.65	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	g	i	3-SG	12.1	6.7	-16.2	214.7
	1484.0	1448.0		Ma	10	240.0	10.1029/2000TC001265:10.3133/pp1866		9.5	c	263.0	53.0	41.0	7	0	Igneous	Pyroclastic Flow	37.569	Pyroclastite	St. Francois Mountains	269.635	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	g	i	4-GM				
	1484.0	1448.0		Ma	10	240.0	10.1029/2000TC001265:10.3133/pp1866		9.5	c	259.0	43.7	41.0	7	100	Igneous	Pyroclastic Flow	37.569	Pyroclastite	St. Francois Mountains	269.635	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	g	i	4-GM	11.9	7.4	7.3	206.4
	1330.0	1280.0		Ma	10	240.0	10.1029/2000TC001265:10.3133/pp1866		10.0	d	325.0	59.0	19.0	12	0	Igneous	Pyroclastic Flow	37.569	Pyroclastite	St. Francois Mountains	269.635	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	b	i	4-GM				
	1330.0	1280.0		Ma	10	240.0	10.1029/2000TC001265:10.3133/pp1866		10.0	d	325.0	59.0	19.0	12	100	Igneous	Pyroclastic Flow	37.569	Pyroclastite	St. Francois Mountains	269.635	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	b	i	4-GM	14.9	11.1	62.8	195.2
	1330.0	1280.0		Ma	10	240.0	10.1029/2000TC001265:10.3133/pp1866		6.8	e	76.0	45.0	66.0	8	0	Igneous	Pyroclastic Flow	37.569	Pyroclastite	St. Francois Mountains	269.635	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	b	i	4-GM				
	1330.0	1280.0		Ma	10	240.0	10.1029/2000TC001265:10.3133/pp1866		6.8	e	76.0	45.0	66.0	8	100	Igneous	Pyroclastic Flow	37.569	Pyroclastite	St. Francois Mountains	269.635	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	b	i	4-GM	8.6	5.4	26.4	345.3
	1484.0	1448.0		Ma	10	240.0	10.1029/2000TC001265:10.3133/pp1866		15.4		246.8	63.0	26.0	5	0	Igneous	Pyroclastic Flow	37.571	Pyroclastite	St. Francois Mountains	269.62	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	g	i	5-GM				
	1484.0	1448.0		Ma	10	240.0	10.1029/2000TC001265:10.3133/pp1866		15.4		245.1	53.1	26.0	5	100	Igneous	Pyroclastic Flow	37.571	Pyroclastite	St. Francois Mountains	269.62	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	g	i	5-GM	21.3	14.8	3.5	220.5
500.0			50.0	Ma	10	240.0	10.1029/2000TC001265	Conglomerate-test target: granitic (and volcanic) clasts drilled from the overlying Cambrian boulder conglomerate (depositional age ~500 Ma). The high-temperature clast directions are randomly distributed (k~1, a95~60 deg), a positive conglomerate test constraining the SFM magnetization to be older than Late Cambrian.	60.0		150.0	49.0	1.0	13	0	Igneous	Pluton	37.573	Granite	St. Francois Mountains	269.7	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-G	b	i	6-CT				
	1484.0	1448.0		Ma	10	240.0	10.1029/2000TC001265:10.3133/pp1866		13.4		231.7	54.0	48.0	4	0	Igneous	Pluton	37.604	Granite	St. Francois Mountains	269.481	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	g	i	7-SM				
	1484.0	1448.0		Ma	10	240.0	10.1029/2000TC001265:10.3133/pp1866		13.4		233.2	44.1	48.0	4	100	Igneous	Pluton	37.604	Granite	St. Francois Mountains	269.481	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	g	i	7-SM	16.8	10.5	-9.3	222.6
	1484.0	1448.0		Ma	15	228.0	10.1029/2000TC001265:10.3133/pp1866		4.0		216.0	68.0	999.0	2	0	Igneous	Lava Flow	37.599	Rhyolite	St. Francois Mountains	269.427	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	g	i	8-FR				
	1484.0	1448.0		Ma	15	228.0	10.1029/2000TC001265:10.3133/pp1866		4.0		220.5	53.2	999.0	2	100	Igneous	Lava Flow	37.599	Rhyolite	St. Francois Mountains	269.427	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	g	i	8-FR	5.6	3.9	-9.3	236.3
	1484.0	1448.0		Ma	85	279.0	10.1029/2000TC001265:10.3133/pp1866		17.5		151.2	22.7	13.0	7	0	Igneous	Pyroclastic Flow	37.594	Pyroclastite	St. Francois Mountains	269.421	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	g	i	9-GM				
	1484.0	1448.0		Ma	85	279.0	10.1029/2000TC001265:10.3133/pp1866		17.5		213.7	36.6	13.0	7	100	Igneous	Pyroclastic Flow	37.594	Pyroclastite	St. Francois Mountains	269.421	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	g	i	9-GM	20.4	11.9	-23.9	234.7
	1484.0	1448.0		Ma	40	230.0	10.1029/2000TC001265:10.3133/pp1866		7.1		294.0	78.0	116.0	6	0	Igneous	Pyroclastic Flow	37.587	Pyroclastite	St. Francois Mountains	269.413	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	g	i	10-GM				
	1484.0	1448.0		Ma	40	230.0	10.1029/2000TC001265:10.3133/pp1866		7.1		245.0	43.7	116.0	6	100	Igneous	Pyroclastic Flow	37.587	Pyroclastite	St. Francois Mountains	269.413	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	g	i	10-GM	8.9	5.5	-2.2	214.5
	1484.0	1448.0		Ma	32	195.0	10.1029/2000TC001265:10.3133/pp1866		13.1		251.9	64.0	22.0	7	0	Igneous	Pluton	37.607	Granite	St. Francois Mountains	269.364	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	g	i	11-SM				
	1484.0	1448.0		Ma	32	195.0	10.1029/2000TC001265:10.3133/pp1866		13.1		223.4	39.4	22.0	7	100	Igneous	Pluton	37.607	Granite	St. Francois Mountains	269.364	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	g	i	11-SM	15.7	9.4	-17.5	227.6
	1484.0	1448.0		Ma	21	209.0	10.1029/2000TC001265:10.3133/pp1866		5.3		236.0	46.0	163.0	6	0	Igneous	Lava Flow	37.573	Rhyolite	St. Francois Mountains	269.295	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	g	i	12-RG				
	1484.0	1448.0		Ma	21	209.0	10.1029/2000TC001265:10.3133/pp1866		5.3		229.7	26.7	163.0	6	100	Igneous	Lava Flow	37.573	Rhyolite	St. Francois Mountains	269.295	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	g	i	12-RG	5.8	3.1	-20.4	217.2
	1484.0	1448.0		Ma	15	215.0	10.1029/2000TC001265:10.3133/pp1866		11.8		252.1	48.1	111.0	3	0	Igneous	Lava Flow	37.544	Rhyolite	St. Francois Mountains	269.314	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	g	i	13-RG				
	1484.0	1448.0		Ma	15	215.0	10.1029/2000TC001265:10.3133/pp1866		11.8		244.7	35.5	111.0	3	100	Igneous	Lava Flow	37.544	Rhyolite	St. Francois Mountains	269.314	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	g	i	13-RG	13.7	7.9	-6.6	210.3
	1484.0	1448.0		Ma	5	233.0	10.1029/2000TC001265:10.3133/pp1866		6.4		255.0	56.0	111.0	4	0	Igneous	Lava Flow	37.529	Rhyolite	St. Francois Mountains	269.262	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	g	i	14-TS				
	1484.0	1448.0		Ma	5	233.0	10.1029/2000TC001265:10.3133/pp1866		6.4		252.6	51.3	111.0	4	100	Igneous	Lava Flow	37.529	Rhyolite	St. Francois Mountains	269.262	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	g	i	14-TS	8.7	5.9	7.0	214.6
	1484.0	1448.0		Ma	40	31.0	10.1029/2000TC001265:10.3133/pp1866		21.2		44.0	6.1	19.7	6	0	Igneous	Lava Flow	37.457	Rhyolite	St. Francois Mountains	269.199	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	b	i	15-TS				
	1484.0	1448.0		Ma	40	31.0	10.1029/2000TC001265:10.3133/pp1866		21.2		46.5	-32.8	19.7	6	100	Igneous	Lava Flow	37.457	Rhyolite	St. Francois Mountains	269.199	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	b	i	15-TS	24.0	13.6	19.5	42.1
	1484.0	1448.0		Ma	25	68.0	10.1029/2000TC001265:10.3133/pp1866		7.6		240.1	15.9	78.7	7	0	Igneous	Lava Flow	37.48	Rhyolite	St. Francois Mountains	269.168	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	g	i	16-TS				
	1484.0	1448.0		Ma	25	68.0	10.1029/2000TC001265:10.3133/pp1866		7.6		238.0	40.6	78.7	7	100	Igneous	Lava Flow	37.48	Rhyolite	St. Francois Mountains	269.168	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	g	i	16-TS	9.2	5.6	-8.4	217.2
	1484.0	1448.0		Ma	29	260.0	10.1029/2000TC001265:10.3133/pp1866		4.2		184.0	56.0	208.0	6	0	Igneous	Lava Flow	37.452	Rhyolite	St. Francois Mountains	269.188	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	g	i	17-BM				
	1484.0	1448.0		Ma	29	260.0	10.1029/2000TC001265:10.3133/pp1866		4.2		213.8	41.3	208.0	6	100	Igneous	Lava Flow	37.452	Rhyolite	St. Francois Mountains	269.188	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	g	i	17-BM	5.1	3.1	-21.1	236.1
	1484.0	1448.0		Ma	21	60.0	10.1029/2000TC001265:10.3133/pp1866		5.5		230.0	11.9	151.0	6	0	Igneous	Lava Flow	37.498	Rhyolite	St. Francois Mountains	269.117	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	g	i	18-BM				
	1484.0	1448.0		Ma	21	60.0	10.1029/2000TC001265:10.3133/pp1866		5.5		228.4	32.5	151.0	6	100	Igneous	Lava Flow	37.498	Rhyolite	St. Francois Mountains	269.117	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	g	i	18-BM	6.2	3.5	-18.5	220.4
	1484.0	1448.0		Ma	14	100.0	10.1029/2000TC001265:10.3133/pp1866		5.1		228.0	3.8	173.0	6	0	Igneous	Lava Flow	37.606	Rhyolite	St. Francois Mountains	269.212	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	g	i	19-LM				
	1484.0	1448.0		Ma	14	100.0	10.1029/2000TC001265:10.3133/pp1866		5.1		226.4	12.3	173.0	6	100	Igneous	Lava Flow	37.606	Rhyolite	St. Francois Mountains	269.212	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	g	i	19-LM	5.2	2.6	-28.5	214.2
	1484.0	1448.0		Ma	37	218.0	10.1029/2000TC001265:10.3133/pp1866		4.4		270.3	71.3	161.0	8	0	Igneous	Pluton	37.584	Granite	St. Francois Mountains	269.37	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	g	i	21-SM				
	1484.0	1448.0		Ma	37	218.0	10.1029/2000TC001265:10.3133/pp1866		4.4		237.2	39.7	161.0	8	100	Igneous	Pluton	37.584	Granite	St. Francois Mountains	269.37	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	g	i	21-SM	5.2	3.2	-9.4	217.5
