tab 	samples
azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	dip	geologic_classes	geologic_types	height	method_codes	result_quality	result_type	sample	site
6.4	0.0	0	90.8	This study	-15	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED20-3	NED20
330.9	0.0	0	90.8	This study	-16	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED20-4	NED20
48.8	0.0	0	90.8	This study	-17	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED20-5	NED20
61.0	0.0	0	90.8	This study	-26	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED20-6	NED20
8.5	0.0	0	90.8	This study	-41	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED20-7	NED20
59.8	0.0	0	90.8	This study	-19	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED20-8	NED20
20.8	0.0	0	90.0	This study	-6	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED27-1	NED27
246.8	0.0	0	90.0	This study	-15	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED27-2	NED27
229.8	0.0	0	90.0	This study	-6	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED27-3	NED27
223.8	0.0	0	90.0	This study	-4	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED27-4	NED27
216.8	0.0	0	90.0	This study	-4	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED27-5	NED27
107.8	0.0	0	90.0	This study	-4	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED27-6	NED27
188.8	0.0	0	90.0	This study	-18	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED27-7	NED27
177.8	0.0	0	90.0	This study	-10	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED27-8	NED27
163.9	0.0	0	90.0	This study	-23	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED32-1	NED32
163.1	0.0	0	90.0	This study	-24	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED32-2	NED32
154.8	0.0	0	90.0	This study	-24	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED32-3	NED32
153.0	0.0	0	90.0	This study	-28	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED32-4	NED32
144.3	0.0	0	90.0	This study	-28	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED32-5	NED32
162.6	0.0	0	90.0	This study	-24	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED32-6	NED32
151.9	0.0	0	90.0	This study	-23	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED32-7	NED32
156.2	0.0	0	90.0	This study	-24	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED32-8	NED32
159.1	0.0	0	90.0	This study	-24	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED32-9	NED32
128.8	0.0	0	90.0	This study	-70	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED35-1	NED35
117.8	0.0	0	90.0	This study	-68	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED35-2	NED35
122.8	0.0	0	90.0	This study	-71	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED35-3	NED35
89.8	0.0	0	90.0	This study	-41	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED35-4	NED35
94.8	0.0	0	90.0	This study	-44	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED35-6	NED35
81.8	0.0	0	90.0	This study	-42	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED35-7	NED35
82.8	0.0	0	90.0	This study	-49	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED35-8	NED35
72.8	0.0	0	90.0	This study	-46	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED35-9	NED35
